0;v1;Z;;85.183.138.66;m;;ka;;;;;;;15.11.2014 16:07;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
1;v3;Z;Dietmar;178.3.121.118;m;32;Studi;WOW;ja;;BS;;;16.11.2014 19:09;Netscape 5.0 (Windows);fa;"submit;";"""zu den Instruktionen"";"
2;v1;Z;Mohammed;2.240.32.28;m;34;Studi;Wirtschaftsinformatik;;;BS;;;16.11.2014 19:11;"Netscape 5.0 (Windows NT 6.3; WOW64) AppleWebKit/5";fa;"submit;";"""zu den Instruktionen"";"
3;v3;Z;johnmclain82;85.183.138.66;m;32;Studi;MFIS;;;BS;ja;356;16.11.2014 23:05;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
4;v2;S;Vlad;85.183.138.66;m;34;Promo;MFIS;;;BS;ja;370;18.11.2014 11:53;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
5;v1;Z;Snickers;85.183.138.66;m;33;Studi;Staats- und Sozialwissenschaften;;;BS;ja;361;18.11.2014 12:49;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
6;v1;S;Emil;85.183.138.66;m;33;Studi;Staats- und Sozialwissenschaften;ja;;BS;ja;380;18.11.2014 19:20;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
7;v1;S;MadoX;85.183.138.66;m;36;Studi;LGAN 2014;;;BS;;;18.11.2014 19:22;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
8;v3;Z;Ano;85.183.138.66;m;36;Studi;LGAN 2014;;;BS;;;18.11.2014 19:39;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
9;v2;S;Kokusnuss;85.183.138.66;m;27;Studi;;;;BS;ja;160;20.11.2014 20:11;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
10;v1;S;Lex13;85.183.138.66;m;37;Studi;;;;BS;;350;20.11.2014 20:26;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
11;v2;Z;RJD10;85.183.138.66;w;35;Studi;;;;BS;;0;20.11.2014 20:43;"Microsoft Internet Explorer 5.0 (compatible; MSIE ";fa;"submit;";"""zu den Instruktionen"";"
12;v1;Z;GI_Frühförderung;89.204.137.211;m;34;Studi;Pol;ja;;BS;ja;370;22.11.2014 18:42;"Netscape 5.0 (iPad; CPU OS 7_1_2 like Mac OS X) Ap";fa;"submit;";"""zu den Instruktionen"";"
